filename,label
0518.pcap,BENIGN
1000155.pcap,PortScan
1001395.pcap,PortScan
1002283.pcap,malware_ddos
1002638.pcap,PortScan
100295.pcap,BENIGN
1003261.pcap,malware_ddos
1005448.pcap,PortScan
100753.pcap,BENIGN
100857.pcap,BENIGN
1012584.pcap,PortScan
1012598.pcap,PortScan
1012736.pcap,PortScan
1013441.pcap,PortScan
101457.pcap,BENIGN
101918.pcap,BENIGN
1021183.pcap,PortScan
1021191.pcap,malware_ddos
102275.pcap,BENIGN
102454.pcap,BENIGN
102797.pcap,BENIGN
1031217.pcap,malware_ddos
1031569.pcap,malware_ddos
1031666.pcap,malware_ddos
103180.pcap,PortScan
1033154.pcap,malware_ddos
1035815.pcap,malware_ddos
103708.pcap,BENIGN
103885.pcap,BENIGN
1042422.pcap,malware_ddos
1042769.pcap,malware_ddos
104393.pcap,BENIGN
1044712.pcap,malware_ddos
104680.pcap,BENIGN
1048660.pcap,PortScan
105021.pcap,BENIGN
105142.pcap,BENIGN
105203.pcap,BENIGN
105223.pcap,BENIGN
105362.pcap,BENIGN
1054457.pcap,malware_ddos
105516.pcap,BENIGN
105698.pcap,BENIGN
1058027.pcap,PortScan
1058255.pcap,PortScan
1059335.pcap,PortScan
1059639.pcap,malware_ddos
106250.pcap,malware_ddos
106351.pcap,BENIGN
106401.pcap,BENIGN
106464.pcap,BENIGN
10657.pcap,BENIGN
1068009.pcap,PortScan
106804.pcap,BENIGN
10696.pcap,BENIGN
106979.pcap,BENIGN
1070730.pcap,PortScan
107083.pcap,BENIGN
107310.pcap,PortScan
1073684.pcap,malware_ddos
107383.pcap,BENIGN
1074255.pcap,malware_ddos
1078080.pcap,malware_ddos
1078379.pcap,PortScan
107903.pcap,BENIGN
1082206.pcap,PortScan
1083759.pcap,malware_ddos
108581.pcap,BENIGN
1090285.pcap,PortScan
1093175.pcap,PortScan
1093732.pcap,malware_ddos
1096146.pcap,malware_ddos
1096677.pcap,PortScan
1097333.pcap,PortScan
109788.pcap,PortScan
109810.pcap,BENIGN
1100659.pcap,PortScan
1102100.pcap,PortScan
110344.pcap,PortScan
1106288.pcap,malware_ddos
1106592.pcap,PortScan
110760.pcap,BENIGN
110853.pcap,BENIGN
1108933.pcap,PortScan
1110018.pcap,PortScan
111004.pcap,BENIGN
111110.pcap,BENIGN
1111895.pcap,PortScan
1112458.pcap,malware_ddos
1112931.pcap,PortScan
1113207.pcap,malware_ddos
1116545.pcap,malware_ddos
1116720.pcap,PortScan
111798.pcap,BENIGN
1118318.pcap,PortScan
1118472.pcap,PortScan
112008.pcap,BENIGN
1120708.pcap,PortScan
112253.pcap,BENIGN
112360.pcap,BENIGN
1125251.pcap,PortScan
1125545.pcap,PortScan
113210.pcap,BENIGN
113357.pcap,BENIGN
113559.pcap,BENIGN
1136597.pcap,malware_ddos
113740.pcap,PortScan
113813.pcap,BENIGN
113979.pcap,BENIGN
114063.pcap,BENIGN
114105.pcap,BENIGN
1141057.pcap,PortScan
1142199.pcap,PortScan
1144493.pcap,PortScan
114488.pcap,BENIGN
1145247.pcap,PortScan
1148390.pcap,PortScan
114967.pcap,BENIGN
1151027.pcap,PortScan
115105.pcap,BENIGN
1152828.pcap,malware_ddos
1156406.pcap,malware_ddos
1157298.pcap,PortScan
1157404.pcap,PortScan
1159908.pcap,PortScan
1163816.pcap,PortScan
1163850.pcap,malware_ddos
1164163.pcap,malware_ddos
1167571.pcap,PortScan
116803.pcap,PortScan
1168548.pcap,PortScan
116929.pcap,BENIGN
1169328.pcap,malware_ddos
1170655.pcap,malware_ddos
1171288.pcap,malware_ddos
117144.pcap,BENIGN
1171995.pcap,PortScan
1172235.pcap,malware_ddos
1172474.pcap,malware_ddos
117470.pcap,PortScan
1183456.pcap,malware_ddos
118366.pcap,BENIGN
1185553.pcap,malware_ddos
118559.pcap,BENIGN
1188334.pcap,malware_ddos
1189017.pcap,PortScan
1190266.pcap,malware_ddos
1193098.pcap,malware_ddos
1193630.pcap,PortScan
1194546.pcap,PortScan
1194908.pcap,PortScan
119533.pcap,malware_ddos
119573.pcap,BENIGN
1198794.pcap,PortScan
1200077.pcap,PortScan
1201441.pcap,PortScan
1201948.pcap,malware_ddos
1202215.pcap,PortScan
1203115.pcap,PortScan
1203253.pcap,malware_ddos
1204637.pcap,PortScan
1205125.pcap,PortScan
1206369.pcap,malware_ddos
121002.pcap,BENIGN
1210263.pcap,malware_ddos
1211395.pcap,malware_ddos
1212827.pcap,PortScan
1216939.pcap,malware_ddos
1217686.pcap,PortScan
121899.pcap,BENIGN
1219751.pcap,malware_ddos
1222128.pcap,PortScan
122285.pcap,BENIGN
122451.pcap,BENIGN
122835.pcap,PortScan
122992.pcap,malware_ddos
1230773.pcap,malware_ddos
1233131.pcap,PortScan
1233508.pcap,malware_ddos
123421.pcap,BENIGN
1234346.pcap,PortScan
123465.pcap,PortScan
123506.pcap,BENIGN
1235140.pcap,malware_ddos
1236050.pcap,PortScan
1236244.pcap,PortScan
1238672.pcap,PortScan
1242807.pcap,PortScan
124388.pcap,BENIGN
124615.pcap,BENIGN
1246248.pcap,PortScan
1248507.pcap,PortScan
125064.pcap,PortScan
1251108.pcap,malware_ddos
125420.pcap,BENIGN
1256096.pcap,PortScan
125703.pcap,BENIGN
1258178.pcap,malware_ddos
1260216.pcap,malware_ddos
1261204.pcap,malware_ddos
12615.pcap,BENIGN
1262312.pcap,PortScan
1263831.pcap,PortScan
126700.pcap,BENIGN
1267803.pcap,PortScan
126917.pcap,BENIGN
1270510.pcap,PortScan
12709.pcap,BENIGN
127123.pcap,BENIGN
1272056.pcap,PortScan
1272792.pcap,PortScan
127344.pcap,PortScan
1273869.pcap,malware_ddos
1274342.pcap,PortScan
1275523.pcap,malware_ddos
127627.pcap,BENIGN
1276612.pcap,PortScan
1276846.pcap,malware_ddos
127710.pcap,BENIGN
1278934.pcap,malware_ddos
127992.pcap,BENIGN
1280335.pcap,malware_ddos
1281116.pcap,malware_ddos
1282952.pcap,PortScan
128335.pcap,BENIGN
1283823.pcap,malware_ddos
1284203.pcap,malware_ddos
1284658.pcap,PortScan
1290273.pcap,malware_ddos
1292626.pcap,malware_ddos
1293444.pcap,malware_ddos
129368.pcap,BENIGN
1293682.pcap,malware_ddos
129398.pcap,BENIGN
1294161.pcap,malware_ddos
