filename,label
0518.pcap,benign_benign
1000155.pcap,malware_port-scan
1001395.pcap,malware_port-scan
1002283.pcap,malware_ddos
1002638.pcap,malware_port-scan
100295.pcap,benign_benign
1003261.pcap,malware_ddos
1005448.pcap,malware_port-scan
100753.pcap,benign_benign
100857.pcap,benign_benign
1012584.pcap,malware_port-scan
1012598.pcap,malware_port-scan
1012736.pcap,malware_port-scan
1013441.pcap,malware_port-scan
101457.pcap,benign_benign
101918.pcap,benign_benign
1021183.pcap,malware_port-scan
1021191.pcap,malware_ddos
102275.pcap,benign_benign
102454.pcap,benign_benign
102797.pcap,benign_benign
1031217.pcap,malware_ddos
1031569.pcap,malware_ddos
1031666.pcap,malware_ddos
103180.pcap,malware_port-scan
1033154.pcap,malware_ddos
1035815.pcap,malware_ddos
103708.pcap,benign_benign
103885.pcap,benign_benign
1042422.pcap,malware_ddos
1042769.pcap,malware_ddos
104393.pcap,benign_benign
1044712.pcap,malware_ddos
104680.pcap,benign_benign
1048660.pcap,malware_port-scan
105021.pcap,benign_benign
105142.pcap,benign_benign
105203.pcap,benign_benign
105223.pcap,benign_benign
105362.pcap,benign_benign
1054457.pcap,malware_ddos
105516.pcap,benign_benign
105698.pcap,benign_benign
1058027.pcap,malware_port-scan
1058255.pcap,malware_port-scan
1059335.pcap,malware_port-scan
1059639.pcap,malware_ddos
106250.pcap,malware_ddos
106351.pcap,benign_benign
106401.pcap,benign_benign
106464.pcap,benign_benign
10657.pcap,benign_benign
1068009.pcap,malware_port-scan
106804.pcap,benign_benign
10696.pcap,benign_benign
106979.pcap,benign_benign
1070730.pcap,malware_port-scan
107083.pcap,benign_benign
107310.pcap,malware_port-scan
1073684.pcap,malware_ddos
107383.pcap,benign_benign
1074255.pcap,malware_ddos
1078080.pcap,malware_ddos
1078379.pcap,malware_port-scan
107903.pcap,benign_benign
1082206.pcap,malware_port-scan
1083759.pcap,malware_ddos
108581.pcap,benign_benign
1090285.pcap,malware_port-scan
1093175.pcap,malware_port-scan
1093732.pcap,malware_ddos
1096146.pcap,malware_ddos
1096677.pcap,malware_port-scan
1097333.pcap,malware_port-scan
109788.pcap,malware_port-scan
109810.pcap,benign_benign
1100659.pcap,malware_port-scan
1102100.pcap,malware_port-scan
110344.pcap,malware_port-scan
1106288.pcap,malware_ddos
1106592.pcap,malware_port-scan
110760.pcap,benign_benign
110853.pcap,benign_benign
1108933.pcap,malware_port-scan
1110018.pcap,malware_port-scan
111004.pcap,benign_benign
111110.pcap,benign_benign
1111895.pcap,malware_port-scan
1112458.pcap,malware_ddos
1112931.pcap,malware_port-scan
1113207.pcap,malware_ddos
1116545.pcap,malware_ddos
1116720.pcap,malware_port-scan
111798.pcap,benign_benign
1118318.pcap,malware_port-scan
1118472.pcap,malware_port-scan
112008.pcap,benign_benign
1120708.pcap,malware_port-scan
112253.pcap,benign_benign
112360.pcap,benign_benign
1125251.pcap,malware_port-scan
1125545.pcap,malware_port-scan
113210.pcap,benign_benign
113357.pcap,benign_benign
113559.pcap,benign_benign
1136597.pcap,malware_ddos
113740.pcap,malware_port-scan
113813.pcap,benign_benign
113979.pcap,benign_benign
114063.pcap,benign_benign
114105.pcap,benign_benign
1141057.pcap,malware_port-scan
1142199.pcap,malware_port-scan
1144493.pcap,malware_port-scan
114488.pcap,benign_benign
1145247.pcap,malware_port-scan
1148390.pcap,malware_port-scan
114967.pcap,benign_benign
1151027.pcap,malware_port-scan
115105.pcap,benign_benign
1152828.pcap,malware_ddos
1156406.pcap,malware_ddos
1157298.pcap,malware_port-scan
1157404.pcap,malware_port-scan
1159908.pcap,malware_port-scan
1163816.pcap,malware_port-scan
1163850.pcap,malware_ddos
1164163.pcap,malware_ddos
1167571.pcap,malware_port-scan
116803.pcap,malware_port-scan
1168548.pcap,malware_port-scan
116929.pcap,benign_benign
1169328.pcap,malware_ddos
1170655.pcap,malware_ddos
1171288.pcap,malware_ddos
117144.pcap,benign_benign
1171995.pcap,malware_port-scan
1172235.pcap,malware_ddos
1172474.pcap,malware_ddos
117470.pcap,malware_port-scan
1183456.pcap,malware_ddos
118366.pcap,benign_benign
1185553.pcap,malware_ddos
118559.pcap,benign_benign
1188334.pcap,malware_ddos
1189017.pcap,malware_port-scan
1190266.pcap,malware_ddos
1193098.pcap,malware_ddos
1193630.pcap,malware_port-scan
1194546.pcap,malware_port-scan
1194908.pcap,malware_port-scan
