item,label
10000030340083486725_benign_benign.pcap,benign_benign
10000038445705152579_malware_port-scan.pcap,malware_port-scan
10000096708105141325_malware_port-scan.pcap,malware_port-scan
10000193601470361216_benign_benign.pcap,benign_benign
10000201287620339503_malware_port-scan.pcap,malware_port-scan
10000238706793433342_malware_port-scan.pcap,malware_port-scan
10000310341020742146_malware_ddos.pcap,malware_ddos
10000333796309969380_malware_port-scan.pcap,malware_port-scan
10000404934288979263_benign_benign.pcap,benign_benign
10000500560498293256_benign_benign.pcap,benign_benign
10000517966940420484_benign_benign.pcap,benign_benign
10000584327382753480_malware_port-scan.pcap,malware_port-scan
100006355961197847_malware_port-scan.pcap,malware_port-scan
10000644639639539422_benign_benign.pcap,benign_benign
10000691056472113745_benign_benign.pcap,benign_benign
10000706835634770974_malware_infiltration.pcap,malware_infiltration
10000733624475245641_malware_port-scan.pcap,malware_port-scan
10000755371545618503_malware_port-scan.pcap,malware_port-scan
1000081457031827360_malware_ftp-patator.pcap,malware_ftp-patator
10000828802760438126_malware_port-scan.pcap,malware_port-scan
10000853239494477238_malware_ddos.pcap,malware_ddos
10000860098811375573_malware_dos.pcap,malware_dos
10000870131959697828_malware_port-scan.pcap,malware_port-scan
10000890745640652726_malware_port-scan.pcap,malware_port-scan
10000934357129457130_malware_infiltration.pcap,malware_infiltration
10001035598991881759_malware_dos.pcap,malware_dos
10001055514706881560_malware_port-scan.pcap,malware_port-scan
1000114754388257846_benign_benign.pcap,benign_benign
10001151513511577076_benign_benign.pcap,benign_benign
10001210807379096105_malware_dos.pcap,malware_dos
10001335352040531363_malware_web-attack.pcap,malware_web-attack
10001348884109465425_malware_port-scan.pcap,malware_port-scan
10001401269504885181_malware_port-scan.pcap,malware_port-scan
10001431860111960027_benign_benign.pcap,benign_benign
1000144409831618270_malware_infiltration.pcap,malware_infiltration
10001493105291785589_malware_port-scan.pcap,malware_port-scan
10001538318111308490_benign_benign.pcap,benign_benign
10001549150834101484_malware_infiltration.pcap,malware_infiltration
10001563746573641193_malware_infiltration.pcap,malware_infiltration
10001589975559634599_malware_port-scan.pcap,malware_port-scan
10001623256950832577_malware_ddos.pcap,malware_ddos
10001651353240708490_benign_benign.pcap,benign_benign
10001658940886664478_benign_benign.pcap,benign_benign
